disorder_id	disorder_name	description
100800	ACHONDROPLASIA; ACH	
100820	ACHOO SYNDROME	AUTOSOMAL DOMINANT COMPELLING HELIOOPHTHALMIC OUTBURST SYNDROME;; PHOTIC SNEEZE REFLEX;; SNEEZING FROM LIGHT EXPOSURE;; PEROUTKA SNEEZE
100850	"ACONITASE, MITOCHONDRIAL; ACO2"	ACONM
100880	"ACONITASE 1, SOLUBLE; ACO1"	"ACONITATE HYDRATASE, SOLUBLE;; ACONITASE, SOLUBLE; ACONS;; IRON-RESPONSIVE ELEMENT-BINDING PROTEIN 1; IREB1;; IRE-BINDING PROTEIN 1; IREBP1; IREBP;; IRON REGULATORY PROTEIN 1; IRP1"
100900	MOVED TO 100880	
101000	"NEUROFIBROMATOSIS, TYPE II; NF2"	"NEUROFIBROMATOSIS, CENTRAL TYPE;; ACOUSTIC SCHWANNOMAS, BILATERAL;; BILATERAL ACOUSTIC NEUROFIBROMATOSIS; BANF;; ACOUSTIC NEURINOMA, BILATERAL; ACN"
101120	ACROCEPHALOPOLYSYNDACTYLY TYPE III	ACPS III;; ACPS WITH LEG HYPOPLASIA;; SAKATI-NYHAN SYNDROME
101200	APERT SYNDROME	"ACROCEPHALOSYNDACTYLY, TYPE I; ACS1;; ACS I"
101400	SAETHRE-CHOTZEN SYNDROME; SCS	"ACROCEPHALOSYNDACTYLY, TYPE III; ACS3;; ACS III;; CHOTZEN SYNDROME;; ACROCEPHALY, SKULL ASYMMETRY, AND MILD SYNDACTYLY"
101600	PFEIFFER SYNDROME	"ACROCEPHALOSYNDACTYLY, TYPE V; ACS5;; ACS V;; NOACK SYNDROME"
101800	ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1	ADOHR
101805	"ACROFACIAL DYSOSTOSIS, CATANIA TYPE"	"AFD, CATANIA TYPE"
101840	"ACROKERATODERMA, HEREDITARY PAPULOTRANSLUCENT"	
101850	"PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3"	ACROKERATOELASTOIDOSIS; AKE;; COLLAGENOUS PLAQUES OF HANDS AND FEET
101900	ACROKERATOSIS VERRUCIFORMIS; AKV	HOPF DISEASE
102000	"ACROLEUKOPATHY, SYMMETRIC"	
102100	"ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA"	ROSENTHAL-KLOEPFER SYNDROME
102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME	AFA SYNDROME;; THICK LIPS AND ORAL MUCOSA
102200	"PITUITARY ADENOMA, GROWTH HORMONE-SECRETING, 1; PAGH1"	"SOMATOTROPINOMA, FAMILIAL ISOLATED; FIS;; ISOLATED FAMILIAL SOMATOTROPINOMA; IFS;; SOMATOTROPHINOMA, FAMILIAL;; ACROMEGALY DUE TO PITUITARY ADENOMA 1"
102300	"RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 1; RLS1"	"ACROMELALGIA, HEREDITARY;; EKBOM SYNDROME"
102350	ACROMIAL DIMPLES	"SUPRASPINOUS FOSSAE, CONGENITAL"
102370	ACROMICRIC DYSPLASIA; ACMICD	
102400	ACROOSTEOLYSIS	
102480	ACROSIN; ACR	
102490	MOVED TO 607323	
102500	HAJDU-CHENEY SYNDROME; HJCYS	ACROOSTEOLYSIS WITH OSTEOPOROSIS AND CHANGES IN SKULL AND MANDIBLE;; CHENEY SYNDROME;; ARTHRODENTOOSTEODYSPLASIA;; SERPENTINE FIBULA-POLYCYSTIC KIDNEY SYNDROME; SFPKS
102510	ACROPECTOROVERTEBRAL DYSPLASIA; ACRPV	F SYNDROME
102520	ACRORENAL SYNDROME	
102525	ACROSOMAL VESICLE PROTEIN 1; ACRV1	SP-10 PROTEIN
102530	SPERMATOGENIC FAILURE 6; SPGF6	"GLOBOZOOSPERMIA;; ROUND-HEADED SPERMATOZOA;; SPERMATOZOA, ROUND-HEADED;; ACROSOME MALFORMATION OF SPERMATOZOA"
102540	"ACTIN, ALPHA, CARDIAC MUSCLE; ACTC1"	"ACTC;; SMOOTH MUSCLE ACTIN;; ACTIN, ALPHA"
102545	"ACTIN, GAMMA-2, SMOOTH MUSCLE, ENTERIC; ACTG2"	"ACTSG;; ACTE;; ACTIN, ALPHA-3, FORMERLY; ACTA3, FORMERLY"
102550	MOVED TO 102630	
102560	"ACTIN, GAMMA-1; ACTG1"	"ACTIN, GAMMA; ACTG;; CYTOSKELETAL GAMMA-ACTIN;; ACTIN, CYTOPLASMIC, 2"
102565	FILAMIN C; FLNC	"FILAMIN, GAMMA;; FILAMIN 2; FLN2;; ACTIN-BINDING PROTEIN 280, AUTOSOMAL FORM; ABP280A;; ABPA;; ACTIN-BINDING PROTEIN-LIKE; ABPL"
102570	REMOVED FROM DATABASE	
102573	"ACTININ, ALPHA-2; ACTN2"	
102574	"ACTININ, ALPHA-3; ACTN3"	
102575	"ACTININ, ALPHA-1; ACTN1"	
102576	"ACTIVIN A RECEPTOR, TYPE I; ACVR1"	"ACTIVIN A RECEPTOR, TYPE II-LIKE KINASE 2; ACVRLK2;; ACTIVIN RECEPTOR-LIKE KINASE 2; ALK2"
102577	"REPLICATION FACTOR C, SUBUNIT 4; RFC4"	"ACTIVATOR 1, 37-KD SUBUNIT;; REPLICATION FACTOR C, 37-KD SUBUNIT;; RFC2, YEAST, HOMOLOG OF"
102578	"ACUTE PROMYELOCYTIC LEUKEMIA, INDUCER OF; PML"	MYL
102579	"REPLICATION FACTOR C, SUBUNIT 1; RFC1"	"ACTIVATOR 1, 140-KD SUBUNIT;; REPLICATION FACTOR C, 140-KD SUBUNIT; RFC140;; RFC"
102581	"ACTIVIN A RECEPTOR, TYPE IIA; ACVR2A"	ACVR2
102582	SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 3; STAT3	ACUTE-PHASE RESPONSE FACTOR; APRF
102590	"ACYLASE, COBALT-ACTIVATED"	
102593	ACYLOXYACYL HYDROLASE; AOAH	
102595	"ACYLPHOSPHATASE 2, MUSCLE TYPE; ACYP2"	"ACYLPHOSPHATASE, MUSCLE; ACYP"
102600	ADENINE PHOSPHORIBOSYLTRANSFERASE; APRT	
102610	"ACTIN, ALPHA, SKELETAL MUSCLE 1; ACTA1"	ASMA
102620	"ACTIN, ALPHA-2, SMOOTH MUSCLE, AORTA; ACTA2"	"ACTIN, ALPHA, SMOOTH MUSCLE, AORTIC; ACTSA;; ACTIN, VASCULAR SMOOTH MUSCLE"
102630	"ACTIN, BETA; ACTB"	"BETA-ACTIN;; ACTIN, CYTOPLASMIC, 1"
102640	MOVED TO 102630	
102642	STEROL O-ACYLTRANSFERASE 1; SOAT1	SOAT;; ACYL-CoA:CHOLESTEROL ACYLTRANSFERASE; ACACT;; ACAT1;; STEROL ACYLTRANSFERASE
102645	ACYLPEPTIDE HYDROLASE; APH	N-ACYLAMINOACYLPEPTIDE HYDROLASE; APEH
102650	"ADACTYLIA, UNILATERAL"	"TERMINAL TRANSVERSE DEFECTS OF HAND, UNILATERAL"
102660	ADAMANTINOMA OF LONG BONES	
102670	MUCOSAL VASCULAR ADDRESSIN CELL ADHESION MOLECULE 1; MADCAM1	"ADDRESSIN, MUCOSAL;; MUCOSAL ADDRESSIN CELL ADHESION MOLECULE 1; MACAM1"
102680	ADDUCIN 1; ADD1	"ADDUCIN, ALPHA"
102681	ADDUCIN 2; ADD2	"ADDUCIN, BETA"
102699	ADENO-ASSOCIATED VIRUS INTEGRATION SITE 1; AAVS1	
102700	"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY"	"SCID DUE TO ADA DEFICIENCY;; ADA-SCID;; SCID DUE TO ADA DEFICIENCY, EARLY-ONSET"
102710	MOVED TO 102720	
102720	DIPEPTIDYL PEPTIDASE IV; DPP4	"DIPEPTIDYL PEPTIDASE, INTESTINAL;; ADENOSINE DEAMINASE COMPLEXING PROTEIN 2; ADCP2;; T-CELL ACTIVATION ANTIGEN CD26; CD26"
102730	"ADENOSINE DEAMINASE, ELEVATED, HEMOLYTIC ANEMIA DUE TO"	
102750	ADENOSINE KINASE; ADK	
102770	ADENOSINE MONOPHOSPHATE DEAMINASE 1; AMPD1	AMP DEAMINASE;; MYOADENYLATE DEAMINASE
102771	ADENOSINE MONOPHOSPHATE DEAMINASE 2; AMPD2	
102772	ADENOSINE MONOPHOSPHATE DEAMINASE 3; AMPD3	
102775	ADENOSINE A1 RECEPTOR; ADORA1	RDC7
102776	ADENOSINE A2A RECEPTOR; ADORA2A	A2AR;; ADORA2;; RDC8
102777	ADENOSINE A2 RECEPTOR-LIKE; ADORA2L1	ADORA2B-LIKE;; ADORA2L
102800	"ADENOSINE TRIPHOSPHATASE DEFICIENCY, ANEMIA DUE TO"	
102900	"ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES"	PYRUVATE KINASE HYPERACTIVITY
102910	"ATP SYNTHASE, H+ TRANSPORTING, MITOCHONDRIAL F1 COMPLEX, BETA SUBUNIT; ATP5B"	"MITOCHONDRIAL ATP SYNTHASE, BETA SUBUNIT; ATPMB;; ATPSB"
102920	REMOVED FROM DATABASE	
102930	REMOVED FROM DATABASE	
102940	REMOVED FROM DATABASE	
102970	REMOVED FROM DATABASE	
102980	ADENYLATE CYCLASE-ACTIVATING POLYPEPTIDE 1; ADCYAP1	PITUITARY ADENYLATE CYCLASE-ACTIVATING POLYPEPTIDE; PACAP
102981	"ADENYLATE CYCLASE-ACTIVATING POLYPEPTIDE 1, RECEPTOR FOR; ADCYAP1R1"	"PITUITARY ADENYLATE CYCLASE-ACTIVATING POLYPEPTIDE RECEPTOR, TYPE I;; PACAP RECEPTOR, TYPE I;; PAC1"
102990	MOVED TO 145600	
103000	ADENYLATE KINASE 1; AK1	"ADENYLATE KINASE, SOLUBLE"
103020	ADENYLATE KINASE 2; AK2	"ADENYLATE KINASE, MITOCHONDRIAL MYOKINASE"
103030	ADENYLATE KINASE 3-LIKE 1; AK3L1	"AK4, MOUSE, HOMOLOG OF; AK4;; ADENYLATE KINASE 3, FORMERLY; AK3, FORMERLY"
103050	ADENYLOSUCCINASE DEFICIENCY; ADSLD	ADENYLOSUCCINATE LYASE DEFICIENCY;; ADSL DEFICIENCY
103060	ADENYLOSUCCINATE SYNTHETASE; ADSS	"Ade(-)H, COMPLEMENT OF; ADEH"
103070	ADENYLATE CYCLASE 8; ADCY8	"ADCY8;; ADENYLYL CYCLASE, BRAIN, TYPE I;; ADENYLATE CYCLASE 3, FORMERLY; ADCY3, FORMERLY"
103071	ADENYLATE CYCLASE 2; ADCY2	"ADENYLYL CYCLASE 2;; ADENYLYL CYCLASE, BRAIN, TYPE II"
103072	ADENYLATE CYCLASE 1; ADCY1	"ADENYLYL CYCLASE 1;; ADENYLYL CYCLASE, FETAL BRAIN, TYPE I"
103100	ADIE PUPIL	ADIE SYNDROME;; POORLY REACTING PUPILS
103180	ADP-RIBOSYLATION FACTOR 1; ARF1	
103188	ADP-RIBOSYLATION FACTOR 5; ARF5	
103190	ADP-RIBOSYLATION FACTOR 3; ARF3	
103195	PERILIPIN 2; PLIN2	ADIPOSE DIFFERENTIATION-RELATED PROTEIN; ADRP;; ADIPOPHILIN
103200	ADIPOSIS DOLOROSA	DERCUM DISEASE
103220	"SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER 4; SLC25A4"	ADENINE NUCLEOTIDE TRANSLOCATOR 1; ANT1;; ADP/ATP TRANSLOCATOR OF SKELETAL MUSCLE; ANT;; ADP/ATP TRANSLOCASE 1;; ADP/ATP CARRIER 1; AAC1
103230	"ADRENOCORTICAL HYPOFUNCTION, CHRONIC PRIMARY CONGENITAL"	"ADDISON DISEASE, CONGENITAL"
103260	FERREDOXIN 1; FDX1	ADRENODOXIN; ADX
103270	FERREDOXIN REDUCTASE; FDXR	FERREDOXIN:NADP(+) REDUCTASE;; ADRENODOXIN REDUCTASE; ADXR
103275	ADRENOMEDULLIN; ADM	
103280	"H19, IMPRINTED MATERNALLY EXPRESSED NONCODING TRANSCRIPT; H19"	LONG INTERGENIC NONCODING RNA H19;; lincRNA H19;; ADULT SKELETAL MUSCLE GENE; ASM;; ASM1
103285	ADULT SYNDROME	ACRO-DERMATO-UNGUAL-LACRIMAL-TOOTH SYNDROME
103300	HYPOGLOSSIA-HYPODACTYLIA	PEROMELIA WITH MICROGNATHISM;; OROMANDIBULAR LIMB HYPOPLASIA;; AGLOSSIA-ADACTYLIA
103320	AGRIN; AGRN	
103321	MOVED TO 128239	
103390	AHNAK NUCLEOPROTEIN; AHNAK	DESMOYOKIN
103400	AINHUM	
103420	"ALACRIMA, CONGENITAL, AUTOSOMAL DOMINANT"	"ALACRIMIA CONGENITA, AUTOSOMAL DOMINANT"
103470	"ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS"	"WAARDENBURG SYNDROME, TYPE 2, WITH OCULAR ALBINISM, AUTOSOMAL RECESSIVE; WS2-OA"
103500	TIETZ ALBINISM-DEAFNESS SYNDROME; TADS	TIETZ SYNDROME;; ALBINISM-DEAFNESS OF TIETZ;; HYPOPIGMENTATION/DEAFNESS OF TIETZ
103580	"PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A"	PHP IA;; ALBRIGHT HEREDITARY OSTEODYSTROPHY WITH MULTIPLE HORMONE RESISTANCE
103581	MOVED TO 103580	
103600	ALBUMIN; ALB	
103700	"ALCOHOL DEHYDROGENASE 1A, CLASS I, ALPHA POLYPEPTIDE; ADH1A"	"ALCOHOL DEHYDROGENASE 1; ADH1;; ADH, ALPHA SUBUNIT"
103710	"ALCOHOL DEHYDROGENASE 5, CHI POLYPEPTIDE; ADH5"	"ALCOHOL DEHYDROGENASE, CHI ISOZYME;; ADH, CLASS III; ADHX;; FORMALDEHYDE DEHYDROGENASE; FDH;; FORMALDEHYDE DEHYDROGENASE, GLUTATHIONE-DEPENDENT;; S-NITROSOGLUTATHIONE REDUCTASE; GSNOR"
103720	"ALCOHOL DEHYDROGENASE 1B, CLASS I, BETA POLYPEPTIDE; ADH1B"	"ALCOHOL DEHYDROGENASE 2; ADH2;; ADH, BETA SUBUNIT"
103730	"ALCOHOL DEHYDROGENASE 1C, GAMMA POLYPEPTIDE; ADH1C"	"ALCOHOL DEHYDROGENASE 3; ADH3;; ADH, GAMMA SUBUNIT"
103735	ALCOHOL DEHYDROGENASE 6; ADH6	
103740	ALCOHOL DEHYDROGENASE 4; ADH4	"ALCOHOL DEHYDROGENASE, PI ISOZYME;; ADH, CLASS II"
103780	ALCOHOL DEPENDENCE	ALCOHOLISM
103800	MOVED TO 253200 AND 258870	
103830	"ALDO-KETO REDUCTASE FAMILY 1, MEMBER A1; AKR1A1"	ALDEHYDE REDUCTASE; ALR
103850	"ALDOLASE A, FRUCTOSE-BISPHOSPHATE; ALDOA"	"FRUCTOSE-1,6-BISPHOSPHATE ALDOLASE A;; ALDOLASE A; ALDA;; ALDOLASE 1;; FRUCTOALDOLASE A"
103870	"ALDOLASE C, FRUCTOSE-BISPHOSPHATE; ALDOC"	ALDOLASE 3;; FRUCTOALDOLASE C; ALDC
103880	"ALDO-KETO REDUCTASE FAMILY 1, MEMBER B1; AKR1B1"	ALDOSE REDUCTASE; AR;; ALDEHYDE REDUCTASE 1; ALDR1
103890	ALDOSE REDUCTASE M; ARM	
103900	"HYPERALDOSTERONISM, FAMILIAL, TYPE I; HALD1"	"GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM; GRA;; FH I;; GLUCOCORTICOID-SUPPRESSIBLE HYPERALDOSTERONISM; GSH;; ALDOSTERONISM, SENSITIVE TO DEXAMETHASONE;; ACTH-DEPENDENT HYPERALDOSTERONISM SYNDROME"
103920	"ALLERGIC BRONCHOPULMONARY ASPERGILLOSIS, FAMILIAL"	
103950	ALPHA-2-MACROGLOBULIN; A2M	"MACROGLOBULIN, ALPHA-2"
104000	ALOPECIA AREATA 1; AA1	
104100	PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1; PPKCA1	"PPKCA, STEVANOVIC TYPE;; KERATODERMA-HYPOTRICHOSIS-LEUKONYCHIA TOTALIS SYNDROME"
104110	"ALOPECIA, FAMILIAL FOCAL; ALPF"	
104130	"ALOPECIA, PSYCHOMOTOR EPILEPSY, PYORRHEA, AND MENTAL SUBNORMALITY"	SHOKEIR SYNDROME
104145	AFAMIN; AFM	ALPHA-ALBUMIN; ALBA; ALB2
104150	ALPHA-FETOPROTEIN; AFP	
104155	ZINC FINGER HOMEOBOX 3; ZFHX3	AT MOTIF-BINDING FACTOR 1; ATBF1;; AT-BINDING TRANSCRIPTION FACTOR 1;; ALPHA-FETOPROTEIN ENHANCER-BINDING PROTEIN
104160	"GLUCOSIDASE, ALPHA, NEUTRAL AB; GANAB"	"ALPHA-GLUCOSIDASE, NEUTRAL, AB FORM;; GLUCOSIDASE II, ALPHA SUBUNIT"
104170	N-ACETYL-ALPHA-D-GALACTOSAMINIDASE; NAGA	ALPHA-GALACTOSIDASE B; GALB
104175	GLYCOPROTEIN ALPHA-GALACTOSYLTRANSFERASE 1; GGTA1	"ALPHA-1,3-GALACTOSYLTRANSFERASE"
104180	"GLUCOSIDASE, ALPHA, NEUTRAL C; GANC"	"ALPHA-GLUCOSIDASE C, NEUTRAL"
104200	"ALPORT SYNDROME, AUTOSOMAL DOMINANT"	
104210	ALPHA-2A-ADRENERGIC RECEPTOR; ADRA2A	"ADRAR;; ALPHA-2-ADRENERGIC RECEPTOR, PLATELET TYPE;; ADRENOCEPTOR, ALPHA-2A; ADRA2"
104219	ALPHA-1D-ADRENERGIC RECEPTOR; ADRA1D	"ALPHA-1A-ADRENERGIC RECEPTOR, FORMERLY; ADRA1A, FORMERLY"
104220	ALPHA-1B-ADRENERGIC RECEPTOR; ADRA1B	ALPHA-1-ADRENERGIC RECEPTOR; ADRA1
104221	ALPHA-1A-ADRENERGIC RECEPTOR; ADRA1A	"ALPHA-1C-ADRENERGIC RECEPTOR, FORMERLY; ADRA1C, FORMERLY"
104222	MOVED TO 104219	
104225	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN-ASSOCIATED PROTEIN 1; LRPAP1	ALPHA-2-MACROGLOBULIN RECEPTOR-ASSOCIATED PROTEIN; A2RAP; MRAP; RAP
104230	FUCOSYLTRANSFERASE 4; FUT4	ALPHA-3-FUCOSYLTRANSFERASE; FCT3A
104240	"ST3 BETA-GALACTOSIDE ALPHA-2,3-SIALYLTRANSFERASE 4; ST3GAL4"	"SIALYLTRANSFERASE 4C; SIAT4C;; ALPHA-3-N-ACETYLNEURAMINYLTRANSFERASE;; CMP-N-ACETYLNEURAMINATE-BETA-GALACTOSIDASE ALPHA-2,3-SIALYLTRANSFERASE;; CGS23;; NANTA3;; ST3O/N"
104250	ALPHA-2C-ADRENERGIC RECEPTOR; ADRA2C	"ALPHA-2-ADRENERGIC RECEPTOR, RENAL TYPE"
104260	ALPHA-2B-ADRENERGIC RECEPTOR; ADRA2B	ALPHA-2-ADRENERGIC RECEPTOR-LIKE 1;; ADRA2L1
104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1	
104300	ALZHEIMER DISEASE; AD	PRESENILE AND SENILE DEMENTIA
104310	ALZHEIMER DISEASE 2; AD2	"ALZHEIMER DISEASE 2, LATE-ONSET;; ALZHEIMER DISEASE ASSOCIATED WITH APOE4"
104311	PRESENILIN 1; PSEN1	PS1;; S182
104350	"AMASTIA, BILATERAL, WITH URETERAL TRIPLICATION AND DYSMORPHISM"	
104400	AMELIA AND TERMINAL TRANSVERSE HEMIMELIA	
104500	"AMELOGENESIS IMPERFECTA, TYPE IB; AI1B"	"AMELOGENESIS IMPERFECTA, HYPOPLASTIC LOCAL, AUTOSOMAL DOMINANT;; AIH2;; ENAMEL HYPOPLASIA, HEREDITARY LOCALIZED"
104510	"AMELOGENESIS IMPERFECTA, TYPE IV; AI4"	"AMELOGENESIS IMPERFECTA, HYPOMATURATION-HYPOPLASTIC TYPE, WITH TAURODONTISM; AIHHT"
104530	"AMELOGENESIS IMPERFECTA, TYPE IA; AI1A"	"AMELOGENESIS IMPERFECTA, HYPOPLASTIC TYPE IA"
104570	AMELOONYCHOHYPOHIDROTIC SYNDROME	
104600	AMENORRHEA-GALACTORRHEA SYNDROME	
104610	AMILORIDE-BINDING PROTEIN 1; ABP1	ABP;; DIAMINE OXIDASE; DAO;; DAO1
104613	"CHAPERONIN CONTAINING T-COMPLEX POLYPEPTIDE 1, SUBUNIT 6A; CCT6A"	CCT6;; T-COMPLEX HOMOLOG TCP20; TCP20;; HISTIDINE TRANSPORT REGULATOR 3; HTR3;; AMINO ACID TRANSPORT DEFECT-COMPLEMENTING
104614	"SOLUTE CARRIER FAMILY 3 (CYSTINE, DIBASIC, AND NEUTRAL AMINO ACID TRANSPORTER), MEMBER 1; SLC3A1"	AMINO ACID TRANSPORTER 1; ATR1;; D2H;; RBAT
104615	"SOLUTE CARRIER FAMILY 7 (CATIONIC AMINO ACID TRANSPORTER, y+ SYSTEM), MEMBER 1; SLC7A1"	"AMINO ACID TRANSPORTER, CATIONIC 1; ATRC1;; CATIONIC AMINO ACID TRANSPORTER 1; CAT1"
104620	AMINOACYLASE 1; ACY1	N-ACYL-L-AMINO ACID AMIDOHYDROLASE;; ACYLASE
104640	AMPHIREGULIN; AREG	SCHWANNOMA-DERIVED GROWTH FACTOR; SDGF
104650	"AMYLASE, PANCREATIC, A; AMY2A"	
104660	"AMYLASE, PANCREATIC, B; AMY2B"	
104700	"AMYLASE, SALIVARY, A; AMY1A"	"AMYLASE, SALIVARY; AMY1"
104701	"AMYLASE, SALIVARY, B; AMY1B"	
104702	"AMYLASE, SALIVARY, C; AMY1C"	
104740	MOVED TO 602414	
104750	SERUM AMYLOID A1; SAA1	"AMYLOID A, SERUM; SAA"
104751	SERUM AMYLOID A2; SAA2	"AMYLOID A, SERUM, 2"
104752	SERUM AMYLOID A4; SAA4	"AMYLOID A, SERUM, 4;; SERUM AMYLOID A4, CONSTITUTIVE"
104760	AMYLOID BETA A4 PRECURSOR PROTEIN; APP	AMYLOID OF AGING AND ALZHEIMER DISEASE; AAA;; CEREBRAL VASCULAR AMYLOID PEPTIDE; CVAP;; PROTEASE NEXIN II; PN2
104770	"AMYLOID P COMPONENT, SERUM; APCS"	"SERUM AMYLOID P; SAP;; PENTRAXIN 2, SHORT; PTX2"
104775	AMYLOID BETA A4 PRECURSOR-LIKE PROTEIN 1; APLP1	AMYLOID PRECURSOR-LIKE PROTEIN 1;; AMYLOID PRECURSOR-LIKE PROTEIN; APLP
104776	AMYLOID BETA A4 PRECURSOR-LIKE PROTEIN 2; APLP2	AMYLOID PRECURSOR-LIKE PROTEIN 2;; CDEI-BINDING PROTEIN; CDEBP;; SPERM MEMBRANE PROTEIN
105120	"AMYLOIDOSIS, FINNISH TYPE"	"AMYLOIDOSIS V;; AMYLOIDOSIS, MERETOJA TYPE;; AMYLOID CRANIAL NEUROPATHY WITH LATTICE CORNEAL DYSTROPHY;; AMYLOIDOSIS DUE TO MUTANT GELSOLIN"
105150	"CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED"	"AMYLOIDOSIS, CEREBROARTERIAL, ICELANDIC TYPE;; AMYLOIDOSIS VI;; HEREDITARY CEREBRAL HEMORRHAGE WITH AMYLOIDOSIS; HCHWA;; CEREBRAL HEMORRHAGE, HEREDITARY, WITH AMYLOIDOSIS"
105200	"AMYLOIDOSIS, FAMILIAL VISCERAL"	"AMYLOIDOSIS VIII;; OSTERTAG TYPE AMYLOIDOSIS;; GERMAN TYPE AMYLOIDOSIS;; AMYLOIDOSIS, FAMILIAL RENAL;; AMYLOIDOSIS, SYSTEMIC NONNEUROPATHIC"
105210	"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED"	"HEREDITARY AMYLOIDOSIS, TRANSTHYRETIN-RELATED;; TRANSTHYRETIN AMYLOIDOSIS;; AMYLOID POLYNEUROPATHY, FAMILIAL; FAP"
